#MPI_Ssend		
#size[kB]	bandwidth[Mb/s]	bandwidth[Mb/s]
799	90.062714	226.406296
800	97.650536	164.390884
801	105.845604	142.770416
802	101.659058	131.784668
803	104.406631	103.660515
804	104.691628	142.259369
805	107.993706	141.847244
806	98.576057	127.760017
807	135.924057	112.76564
808	143.872177	141.537064
809	128.963638	138.625122
810	133.494827	116.302895
811	131.064163	126.982903
812	105.91185	98.249924
813	97.467552	100.349976
814	94.924736	139.868942
815	111.231178	135.407745
816	91.845276	135.573029
817	101.966286	234.295593
818	130.968246	199.496246
819	144.000671	158.216293
820	140.544189	232.950241
821	111.761345	200.931366
822	81.602516	105.392105
823	77.585159	142.581863
824	112.145813	175.54715
825	154.291489	244.363678
826	159.707108	222.736954
827	205.213333	132.099747
828	241.369446	136.965866
829	237.434662	168.269394
830	185.225906	248.724533
831	103.854172	141.909866
832	133.290192	122.628456
833	105.981064	112.177872
834	165.843323	129.415283
835	134.501251	115.398811
836	114.863304	158.029709
837	236.391876	143.486679
838	200.771942	120.693878
839	147.91449	92.166855
840	154.832291	92.81002
841	138.773499	96.882812
842	126.684891	86.405136
843	241.739319	94.063965
844	172.436386	143.814774
845	155.661758	245.005844
846	150.5327	138.466263
847	156.147156	118.900574
848	242.220779	83.577866
849	151.576859	102.718552
850	130.055481	140.89769
851	120.054123	239.772827
852	165.407822	220.224304
853	139.8367	223.606628
854	148.046387	160.625137
855	114.372147	163.762604
856	108.732307	161.904343
857	110.775871	161.879425
858	123.300957	162.969299
859	218.334076	115.431641
860	207.954346	182.383942
861	207.183029	245.383713
862	206.517654	203.994675
863	209.485031	158.100891
864	204.162857	162.24025
865	200.852585	163.091919
866	187.134506	102.171791
867	188.295532	102.617897
868	203.13797	107.489311
869	198.758743	153.969635
870	153.054092	140.292557
871	169.91272	111.438309
872	170.426376	137.157288
873	172.571457	176.614548
874	163.990616	250.77507
875	161.427338	150.682709
876	139.51059	116.818825
877	131.99556	140.681839
878	139.323608	253.64856
879	129.270142	151.638641
880	115.223618	107.155998
881	105.878532	124.667686
882	96.166328	128.793808
883	86.598923	143.684097
884	88.884056	130.972336
885	96.142273	157.241684
886	88.334541	225.517334
887	92.261131	237.36058
888	87.670761	244.119766
889	90.559303	245.334015
890	90.558281	238.508377
891	100.66729	240.16806
892	121.520004	235.367462
893	120.644936	240.011047
894	117.742455	173.74086
895	111.752892	170.424911
896	103.395523	249.794586
897	121.394928	225.305801
898	106.58992	251.252411
899	99.412354	230.645248
900	119.422989	243.40239
901	116.960938	137.122528
902	114.712791	85.713036
903	98.178169	119.878014
904	88.644333	238.620834
905	90.720734	234.060577
906	90.934944	247.260101
907	91.053741	152.892929
908	94.861908	202.734421
909	103.907043	234.288071
910	106.253136	235.637863
911	117.529526	162.962967
912	125.175407	135.541748
913	110.116562	100.265594
914	117.402084	157.01329
915	107.531502	112.371719
916	112.174606	240.398972
917	99.550026	205.361542
918	98.205902	157.135422
919	92.91243	155.813614
920	116.455597	140.081543
921	99.622322	111.047234
922	90.665848	138.196457
923	93.732674	136.801025
924	125.18718	137.267426
925	124.669632	233.660599
926	125.324265	237.471115
927	97.428719	101.477386
928	89.939384	84.321922
929	92.664131	144.986069
930	88.907959	170.747528
931	101.139214	176.966919
932	94.79023	171.422607
933	93.058975	149.281876
934	93.833725	162.290237
935	96.138939	213.104218
936	93.361732	261.9729
937	92.391327	252.373215
938	94.369781	250.543259
939	95.676727	179.954056
940	118.610573	165.236679
941	123.437714	251.378708
942	113.593124	242.613251
943	96.617874	252.431305
944	88.211807	236.45134
945	91.516022	252.594543
946	92.343369	251.042618
947	97.185135	244.006683
948	90.570282	255.166397
949	85.362923	248.385574
950	84.853539	134.165405
951	83.615982	194.716324
952	101.491013	247.821655
953	113.591049	247.398285
954	100.6269	249.481445
955	102.81852	244.470322
956	136.87027	249.482376
957	129.284149	225.42189
958	133.382065	136.857437
959	131.097504	151.741028
960	130.481018	153.021286
961	136.299683	251.12059
962	125.232262	241.246582
963	125.777031	224.521698
964	110.591637	157.617493
965	99.609398	107.842857
966	118.032204	106.419067
967	125.088936	138.250214
968	111.712189	140.890228
969	107.155724	105.889557
970	84.799927	112.559067
971	82.300217	137.457718
972	79.454544	136.800079
973	80.806137	139.624832
974	112.860771	188.231308
975	102.287407	244.066849
976	92.13884	249.179276
977	91.192741	194.775208
978	128.126694	140.483231
979	131.576157	158.059036
980	124.07045	247.834641
981	125.942215	241.769974
982	95.428947	223.011414
983	97.709564	140.860428
984	90.113319	162.830658
985	107.929718	114.054375
986	118.99984	110.830025
987	94.632233	121.138329
988	126.070213	147.236374
989	98.948196	163.166382
990	92.528877	165.441742
991	97.889977	235.935944
992	115.934288	200.365158
993	102.849716	144.458069
994	95.6623	235.305893
995	126.198898	221.580124
996	126.499825	141.925766
997	132.511307	243.358612
998	129.192703	227.627808
999	108.703178	213.130478
1000	97.137253	153.82782
1001	123.29126	135.339035
1002	134.792694	146.712524
1003	131.238098	231.729507
1004	126.194725	200.131653
1005	97.347542	172.332428
1006	105.281326	239.583984
1007	108.745171	227.098602
1008	111.025848	235.670471
1009	89.576134	239.080734
1010	83.754189	173.865356
1011	114.725929	142.972565
1012	113.192612	240.811493
1013	124.570633	227.874054
1014	134.679901	243.881653
1015	111.962044	205.909103
1016	96.589455	227.853317
1017	79.407707	233.658478
1018	77.400269	190.897156
1019	75.372017	140.638077
1020	75.785637	138.225555
1021	77.871391	130.993347
1022	78.254219	132.585754
1023	129.759552	145.744736
1024	127.579071	87.6772
1025	141.387421	109.196953
1026	123.143982	259.812775
1027	116.618912	176.069901
1028	119.035217	99.090706
1029	103.038231	152.354004
1030	92.120682	98.37606
1031	95.947769	111.782562
1032	135.231308	209.035568
1033	120.356117	262.000519
1034	138.685226	252.463974
1035	138.006668	250.799438
1036	140.407562	218.678421
1037	137.219376	148.698395
1038	135.466949	160.684906
1039	136.161179	248.132828
1040	148.233246	248.982361
1041	135.477066	252.278336
1042	133.977966	174.555466
1043	145.441315	154.384125
1044	141.086792	113.149361
1045	137.707169	116.355522
1046	149.060181	162.378204
1047	146.491486	221.541641
1048	117.335785	232.213974
1049	101.673935	169.491135
1050	97.95842	156.815689
1051	115.433311	141.203339
1052	129.970352	150.244019
1053	111.488594	123.392052
1054	122.755463	120.24398
1055	104.544556	109.442276
1056	88.517303	126.259254
1057	88.040955	196.243347
1058	96.051559	248.996399
1059	121.747078	193.890015
1060	133.864319	135.428406
1061	119.263046	136.862061
1062	140.681839	128.76474
1063	167.764786	119.923859
1064	137.263153	141.178864
1065	122.365685	102.839279
1066	115.540512	119.672325
1067	123.055733	155.479553
1068	165.251984	241.189697
1069	156.452942	247.84288
1070	136.457535	244.75386
1071	116.335876	206.81514
1072	148.829178	102.612
1073	183.748444	109.414581
1074	208.541245	99.982994
1075	166.804947	216.432037
1076	129.344147	239.107147
1077	120.178955	239.061493
1078	118.400841	241.760559
1079	128.46167	234.892761
1080	143.510681	244.968994
1081	111.204567	238.702652
1082	110.199989	241.591888
1083	133.71666	241.225418
1084	133.597412	245.628723
1085	125.71521	237.933685
1086	114.421051	237.747238
1087	129.093491	249.634201
1088	120.066757	238.721161
1089	117.203568	232.020645
1090	177.835892	247.793839
1091	173.470306	230.790878
1092	155.436127	238.100159
1093	147.52417	176.951614
1094	169.952057	151.65358
1095	177.847305	164.186417
1096	175.017899	142.649811
1097	166.047104	176.158264
1098	163.431107	234.969254
1099	124.76313	235.348145
1100	127.301781	245.299408
1101	121.863365	160.461151
1102	162.624756	158.40773
1103	186.333801	144.600388
1104	207.748474	139.330597
1105	149.22731	118.032913
1106	153.327759	113.753166
1107	185.101242	155.611435
1108	179.667114	154.955551
1109	168.75032	142.227524
1110	174.7491	138.132965
1111	181.84053	139.252487
1112	177.411087	145.722137
1113	170.939056	213.954575
1114	173.266983	238.574509
1115	178.440018	169.248428
1116	127.441071	135.328552
1117	146.481262	118.057289
1118	203.578949	175.092239
1119	151.293365	244.128815
1120	136.467316	143.705505
1121	133.06459	214.60498
1122	193.428741	199.781677
1123	202.632675	98.941574
1124	203.028214	159.014359
1125	178.636383	239.890076
1126	144.058792	152.178024
1127	131.836334	165.378723
1128	108.569244	191.058456
1129	103.334892	237.741501
1130	159.791916	133.616135
1131	118.627472	226.933029
1132	111.608078	159.274399
1133	128.735947	89.757645
1134	117.329262	93.783997
1135	91.791733	155.005737
1136	95.91774	243.643814
1137	99.069115	231.643753
1138	174.462997	223.033203
