#MPI_Send				
#size[kB]	latency[ms]	bandwidth[Mb/s]	latency mavg	b mavg
335	12.558866	212.333405	16.2614393	182.40801705
336	11.619639	229.496506	16.5184819	179.86250005
337	12.024736	221.765076	16.90528395	175.768306
338	12.921302	206.377563	17.392081	171.24497375
339	16.922331	157.582703	18.52201975	164.947966
340	18.428167	144.706024	19.44598015	161.1041679
341	17.916672	148.837173	19.89143275	159.09460445
342	17.430824	158.261063	20.1849596	157.6583744
343	11.820826	233.369537	20.6857808	154.9501102
344	27.310659	101.008942	21.50689655	148.3397514
345	31.764935	86.844841	22.39799585	146.4545772
346	18.058653	152.758942	22.919983	145.49720035
347	22.672169	121.674324	23.3744115	143.3164653
348	17.942207	153.750351	23.5778531	142.7728614
349	13.51183	204.163361	23.79389085	141.73981085
350	12.921687	213.487656	24.58900865	136.5682654
351	12.025455	229.398453	24.5762872	137.5892424
352	12.409408	222.300751	24.6383219	137.2867018
353	12.66838	217.756393	24.6791774	137.3725073
354	12.30004	232.287277	24.7021495	137.7697394
355	17.699718	161.423065	24.7632695	137.11110215
356	19.35568	147.612625	24.54553375	140.14134355
357	21.760677	131.298431	25.2393388	137.2187388
358	35.520077	80.437408	25.24411245	137.4321452
359	35.401539	80.706741	24.16115475	144.0984622
360	27.337219	104.514755	23.05573315	151.20785935
361	23.787209	120.112572	22.38445105	157.04097935
362	27.447248	104.095779	21.84879445	162.8026176
363	28.243141	101.162361	21.15271825	168.9721664
364	45.132645	63.305458	20.4787977	174.3338901
365	42.204678	67.697304	18.8753191	182.94579615
366	27.147223	109.144241	17.45711025	190.67658035
367	26.741001	110.802246	16.77954695	196.53494905
368	22.262962	133.08934	16.0993873	202.70502125
369	29.414186	100.732452	15.68598535	207.043552
370	12.667258	233.907196	14.90507415	213.15846365
371	13.266149	223.347641	14.96337455	212.58456685
372	13.226518	224.016861	15.0028728	212.3623264
373	13.127822	225.701035	15.0554794	211.9360416
374	13.52244	219.114532	15.09758275	211.6636867
375	13.345003	222.027893	15.0922004	212.63509175
376	33.231781	89.16053	15.1666061	212.3203716
377	21.85615	135.566559	14.1538694	220.19180675
378	13.860923	213.763748	14.49465995	218.9938434
379	13.293107	222.894684	15.08207175	214.5534206
380	13.911577	221.177155	16.4744141	207.2978496
381	13.074077	235.345337	17.16366715	202.0158664
382	13.525724	227.486755	18.1261376	195.198561
383	14.76473	208.396835	18.74221935	190.0144107
384	13.063073	235.543579	19.1403268	186.63469115
385	13.840501	222.312988	19.6813293	181.55680345
386	13.595957	226.311615	20.1581561	177.285477
387	13.137808	234.20369	20.63904855	172.8623462
388	13.994923	219.859955	20.7328181	171.8094508
389	13.795962	223.030685	20.742156	172.098614
390	13.833266	222.42926	20.75386355	172.3511218
391	14.056114	218.902832	20.9346503	170.7813037
392	14.27865	215.491165	20.99749855	170.7201045
393	13.969889	220.253937	21.3638849	167.65931885
394	13.414793	238.542633	21.36211115	168.60741685
395	14.833117	215.73349	21.4072551	168.32091175
396	12.977047	246.589233	21.4239198	168.52343325
397	28.671961	111.607292	21.50615465	167.5925205
398	25.609159	124.955292	20.788236	173.65610275
399	41.139954	77.783264	20.2570467	178.5302948
400	27.696638	115.537491	18.8986487	186.56975555
401	32.323486	98.999229	18.2542088	192.0481796
402	25.847359	123.803749	17.33103435	199.12323265
403	22.726879	140.802444	16.7574706	204.52637405
404	23.883123	133.985825	16.427133	207.8252945
405	23.377037	136.886459	16.31288485	208.8427101
406	23.213806	137.848999	15.83992865	213.97336275
407	15.013199	213.145782	15.41813035	218.35906145
408	14.181681	225.643219	15.3906442	219.7260628
409	14.030113	228.080841	15.39372315	220.6541008
410	17.449001	191.032898	15.4243372	221.12742235
411	15.313079	217.678848	15.2991874	223.21186675
412	21.606377	154.275452	15.2935528	223.769281
413	13.934414	239.215897	14.9644971	227.63021695
414	14.317672	232.812531	15.015044	227.30601955
415	15.166411	219.78392	15.05190175	227.21737205
416	14.621744	227.970978	15.05188755	227.69537805
417	14.313588	232.878937	15.0974499	227.4931945
418	14.985373	222.439133	15.1051029	227.8709014
419	13.971994	238.572479	15.10470805	228.36058415
420	14.80784	225.105972	15.1668953	227.8617728
421	13.859997	240.50029	15.1490966	228.64042425
422	14.376084	231.866577	15.2467228	227.613848
423	16.120127	206.780853	15.25881875	227.9177016
424	21.59816	154.334137	15.2402514	228.6216117
425	13.917913	239.499512	14.9386785	232.077024
426	14.77784	225.562973	14.9763372	231.95618275
427	14.463476	240.485809	15.1310863	230.85092075
428	14.24326	244.203979	15.9653055	224.6638911
429	14.642394	237.547272	17.4045223	216.67931015
430	14.946005	232.721786	18.5659771	209.60287125
431	15.200387	228.827133	19.3142972	204.04513545
432	15.025263	231.494171	19.61308665	201.18975675
433	14.945352	232.731949	19.66015075	201.0024948
434	15.054827	231.039581	19.7050126	200.84244155
435	15.166127	229.34404	19.7556281	200.6066162
436	15.532991	223.927307	19.7848443	200.68309475
437	14.466648	240.433075	20.3236584	196.39753185
438	14.977476	232.232788	21.8085442	188.49273065
439	15.215739	228.596252	22.6452049	182.6147472
440	14.451866	240.679001	23.5036545	176.7992527
441	15.812521	219.968765	24.76212235	169.3542114
442	14.618003	237.943649	25.3525733	164.9382515
443	15.74878	220.859055	25.4039028	164.66285935
444	15.566702	223.442383	25.44451595	164.5985748
445	14.671087	237.082687	25.46394185	164.8219848
446	17.872822	203.457733	25.54812365	164.0850166
447	31.14786	116.745216	25.48932285	165.32007215
448	43.027596	84.51236	24.7688466	170.86244925
449	37.87149	96.018494	23.42679795	178.40433765
450	29.912407	121.56707	22.3685666	185.0044864
451	21.176176	171.719559	21.6949249	190.51257625
452	15.966545	227.748932	21.43988015	193.77560955
453	15.842589	229.530884	21.73420255	191.1044151
454	16.067137	226.323074	22.30742075	186.603244
455	15.750451	230.873611	23.44783545	180.18674505
456	26.309273	138.216049	24.565161	173.6428383
457	44.164364	82.337051	25.25630195	171.4782673
458	31.71069	114.673119	25.32712465	171.5402821
459	32.384731	112.286362	25.0180855	173.2675301
460	39.621223	91.778175	24.22697775	179.15360875
461	27.62154	131.649567	23.1033527	185.67201125
462	15.644593	232.435806	22.54218525	190.7052159
463	16.561043	219.573364	23.06517925	186.3801137
464	15.95522	227.910583	23.16966505	185.61423085
465	16.354723	222.343323	23.2330402	185.27828805
466	16.696806	228.158844	23.22950865	185.8581945
467	16.738335	227.592758	23.26943975	185.3374502
468	16.186623	235.350128	23.51641075	182.7445242
469	16.706863	228.021469	24.89765215	175.54203435
470	16.439573	231.728867	26.65108885	168.0037844
471	16.075281	236.980225	28.64887245	159.9637392
472	21.852993	174.325043	30.64072835	151.69175205
473	27.306953	139.507462	31.1862432	149.0798929
474	38.875431	97.993095	31.37594795	148.5351709
475	38.096962	99.995476	31.4420063	148.61106165
476	40.132092	94.924629	31.0650756	150.1561441
477	45.580818	83.577347	30.40121585	152.85734385
478	25.529907	149.218079	29.36935025	156.69659555
479	16.562576	230.007935	28.95876495	160.78423515
480	17.148722	222.146225	29.0207165	160.5187795
481	16.398191	232.31366	29.04302825	160.77836125
482	26.104473	145.933762	29.09514125	160.6302724
483	18.650759	204.255707	28.6876721	164.4724881
484	17.222723	221.191727	28.6195893	165.8276837
485	16.284092	233.941452	28.6630103	165.82323115
486	17.495428	217.743958	28.722968	165.56568185
487	21.677755	175.734238	28.7247592	166.0866825
488	43.811451	91.300331	29.01590655	164.5725124
489	51.775597	77.25647	28.35780395	166.53290935
490	56.395245	70.927963	27.4180569	168.7342464
491	55.912399	71.540482	26.09476165	171.8702541
492	32.76329	122.08786	25.2862568	173.3256511
493	31.101048	128.613022	25.572135	172.4186481
494	40.196598	99.51091	24.99803265	176.7187328
495	30.558348	130.897125	23.91181565	183.1400791
496	26.854897	148.948624	23.7336379	184.39399755
497	24.943506	160.362381	24.49376685	181.9522476
498	17.318201	230.970871	26.0235519	177.7247177
499	17.801607	224.698822	26.5921104	173.5143036
500	17.594957	227.33786	27.5238404	168.05730515
501	17.440451	229.351883	27.81734035	165.6623581
502	17.95509	222.778076	27.80641045	166.4191353
503	17.289103	231.359619	27.8208849	166.81934665
504	18.091143	221.102676	27.8123619	167.5494393
505	17.483246	228.790466	28.15596055	164.92780085
506	17.531252	228.163971	28.8378666	160.2529649
507	27.500702	145.450836	29.41661475	156.0778024
508	30.649399	130.50827	29.51195595	155.964187
509	32.980656	121.283211	29.37093325	157.00378585
510	29.92934	133.648117	28.73647125	161.3147672
511	39.742302	100.648422	28.1680228	165.975147
512	38.480854	103.9478	27.09175205	172.4993833
513	19.619001	214.614716	26.08539875	178.77244925
514	18.472258	227.937836	25.98117715	180.048071
515	26.994793	155.975494	26.12253235	178.5353398
516	42.057476	100.113625	26.51838175	176.7668019
517	55.539207	75.811783	26.33118425	177.2559506
518	28.689371	146.762589	25.7129899	178.3414414
519	36.436207	115.558853	25.32298985	181.08146745
520	23.464956	179.438919	24.55927455	185.8045769
521	17.221853	244.487427	25.07379645	183.4159409
522	18.244579	230.782303	26.2849593	176.5534138
523	17.118643	245.961472	27.705519	169.77731515
524	24.963116	168.669907	29.14953935	162.31025925
525	31.121367	135.293747	29.5530805	160.60385205
526	29.106215	144.660721	30.24419805	158.7836204
527	29.407526	143.178528	30.7855462	157.1154361
528	27.828945	151.300247	30.939876	156.79535325
529	20.291416	207.502838	30.4517425	161.5307315
530	18.560371	226.855713	30.76925005	159.49677385
531	18.216887	231.133148	31.52571445	154.75014375
532	18.353788	229.409119	33.07652	147.7071708
533	17.534569	240.127151	33.95769745	142.4134429
534	21.299362	197.683212	34.04974115	141.8763572
535	34.911781	120.604736	34.1449145	141.5695724
536	38.313526	109.896599	33.667156	144.3032127
537	43.17532	97.521599	32.7010413	150.5096889
538	20.88937	201.56311	31.77901675	154.6177917
539	21.161901	210.021042	32.37865895	151.29776455
540	33.755394	131.666199	32.97635765	147.50715635
541	41.44511	107.236885	33.1453514	146.9079746
542	46.655773	95.26033	33.41534845	146.2899017
543	45.99905	96.620354	33.9814621	145.3597534
544	33.033939	134.541763	34.042643	145.2345737
545	44.943718	98.889114	33.8025768	146.37860295
546	39.933178	111.297035	32.5053412	153.1306652
547	32.494122	136.776871	31.52614085	158.4862694
548	18.066275	246.007812	30.859343	163.2467743
549	26.641567	166.823685	31.89583465	156.67433515
550	33.689659	131.923111	32.9183326	153.32967875
551	49.232998	90.273689	33.6412498	151.6204159
552	35.977337	123.534561	33.35773805	152.5079987
553	19.375443	229.385437	33.970865	151.20885625
554	23.202829	191.547516	35.08206625	145.39576495
555	25.356611	175.277542	35.31759205	144.24783785
556	18.991232	234.026123	34.9987586	147.88094865
557	24.734829	179.683655	35.3936534	144.93017275
558	32.882214	135.162567	35.354912	145.7662781
559	33.115875	134.208878	34.74590185	150.37391055
560	37.135269	119.682564	35.113805	149.476939
561	46.845051	94.875427	35.059383	150.02026745
562	57.978046	76.657364	34.44079225	152.1019104
563	47.222668	94.11676	33.11923085	155.72761155
564	28.232615	157.422348	32.92586515	156.44888005
565	18.999006	233.930359	33.192746	155.58677295
566	20.349171	218.409119	33.98047805	150.6605988
567	19.158165	231.986969	34.6911306	146.5479836
568	38.796108	114.559029	35.9720514	140.20348325
569	47.091526	99.930557	36.2582138	139.76074145
570	48.148003	97.737854	35.5734083	141.80991445
571	43.562763	108.025345	34.33359935	146.9990708
572	48.239876	97.551712	33.1496232	153.4315949
573	41.599468	113.123611	31.73363215	160.365931
574	27.913345	168.588974	30.7045531	165.904696
575	18.979942	247.939758	30.29978005	169.34806375
576	26.889128	175.010605	30.8563212	164.76536115
577	23.960001	196.405762	30.90557635	164.4561082
578	20.702011	227.315216	31.2077474	162.4780633
